"parameterization","blocks","wtRange","hids","lrate","beta","outRule","constrainChannel","numChannel","train_length","spawn","propMatches","meanCats","sdCats","minCats","maxCats"
1,2,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,0.94,2.03,0.222701503353614,1,3
2,3,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,0.95,1.99,0.224508441721109,1,3
3,2,1,3,0.15,0,"linear",FALSE,2,1,0.05,0.57,1.6,0.512470743190538,1,3
4,3,1,3,0.15,0,"linear",FALSE,2,1,0.05,0.64,1.67,0.493493012650993,1,3
5,2,0.5,6,0.15,0,"linear",FALSE,2,1,0.05,0.89,1.95,0.329523684408054,1,3
6,3,0.5,6,0.15,0,"linear",FALSE,2,1,0.05,0.93,1.97,0.264193072956086,1,3
7,2,1,6,0.15,0,"linear",FALSE,2,1,0.05,0.57,1.57,0.497569851956243,1,2
8,3,1,6,0.15,0,"linear",FALSE,2,1,0.05,0.56,1.56,0.498887651569859,1,2
9,2,0.5,3,0.6,0,"linear",FALSE,2,1,0.05,0.7,1.86,0.449915817041635,1,3
10,3,0.5,3,0.6,0,"linear",FALSE,2,1,0.05,0.85,1.86,0.348735088019777,1,2
11,2,1,3,0.6,0,"linear",FALSE,2,1,0.05,0.51,1.72,0.55194788218315,1,3
12,3,1,3,0.6,0,"linear",FALSE,2,1,0.05,0.67,1.68,0.468826172262151,1,2
13,2,0.5,6,0.6,0,"linear",FALSE,2,1,0.05,0.22,1.31,0.486068540704525,1,3
14,3,0.5,6,0.6,0,"linear",FALSE,2,1,0.05,0.28,1.28,0.451260859854213,1,2
15,2,1,6,0.6,0,"linear",FALSE,2,1,0.05,0.04,1.11,0.34509550720186,1,3
16,3,1,6,0.6,0,"linear",FALSE,2,1,0.05,0.13,1.13,0.337997668989631,1,2
17,2,0.5,3,0.15,10,"linear",FALSE,2,1,0.05,0.87,1.95,0.358870281282637,1,3
18,3,0.5,3,0.15,10,"linear",FALSE,2,1,0.05,0.94,2.01,0.224508441721109,1,3
19,2,1,3,0.15,10,"linear",FALSE,2,1,0.05,0.55,1.59,0.49431107042371,1,2
20,3,1,3,0.15,10,"linear",FALSE,2,1,0.05,0.59,1.63,0.525222415609412,1,3
21,2,0.5,6,0.15,10,"linear",FALSE,2,1,0.05,0.85,1.89,0.34509550720186,1,3
22,3,0.5,6,0.15,10,"linear",FALSE,2,1,0.05,0.89,1.94,0.31204765240863,1,3
23,2,1,6,0.15,10,"linear",FALSE,2,1,0.05,0.61,1.61,0.490207130000197,1,2
24,3,1,6,0.15,10,"linear",FALSE,2,1,0.05,0.55,1.62,0.546430104025994,1,3
25,2,0.5,3,0.6,10,"linear",FALSE,2,1,0.05,0.65,1.87,0.463953149846539,1,3
26,3,0.5,3,0.6,10,"linear",FALSE,2,1,0.05,0.81,1.84,0.394917201397452,1,3
27,2,1,3,0.6,10,"linear",FALSE,2,1,0.05,0.5,1.65,0.575159178669767,1,3
28,3,1,3,0.6,10,"linear",FALSE,2,1,0.05,0.55,1.63,0.544114515576093,1,3
29,2,0.5,6,0.6,10,"linear",FALSE,2,1,0.05,0.25,1.35,0.519809599951771,1,3
30,3,0.5,6,0.6,10,"linear",FALSE,2,1,0.05,0.25,1.25,0.435194139889245,1,2
31,2,1,6,0.6,10,"linear",FALSE,2,1,0.05,0.09,1.14,0.376587548676509,1,3
32,3,1,6,0.6,10,"linear",FALSE,2,1,0.05,0.16,1.18,0.411452219939241,1,3
33,2,0.5,3,0.15,0,"linear",FALSE,2,2,0.05,0.92,2,0.246182981958665,1,3
34,3,0.5,3,0.15,0,"linear",FALSE,2,2,0.05,0.94,2.02,0.245360999757541,1,3
35,2,1,3,0.15,0,"linear",FALSE,2,2,0.05,0.59,1.59,0.49431107042371,1,2
36,3,1,3,0.15,0,"linear",FALSE,2,2,0.05,0.61,1.63,0.505624925865573,1,3
37,2,0.5,6,0.15,0,"linear",FALSE,2,2,0.05,0.89,2.03,0.331966896244219,1,3
38,3,0.5,6,0.15,0,"linear",FALSE,2,2,0.05,0.96,1.96,0.196946385566932,1,2
39,2,1,6,0.15,0,"linear",FALSE,2,2,0.05,0.49,1.51,0.522136249101959,1,3
40,3,1,6,0.15,0,"linear",FALSE,2,2,0.05,0.51,1.53,0.521361853052351,1,3
41,2,0.5,3,0.6,0,"linear",FALSE,2,2,0.05,0.81,1.98,0.347574568701568,1,3
42,3,0.5,3,0.6,0,"linear",FALSE,2,2,0.05,0.95,1.97,0.222701503353614,1,3
43,2,1,3,0.6,0,"linear",FALSE,2,2,0.05,0.63,1.79,0.498381217928443,1,4
44,3,1,3,0.6,0,"linear",FALSE,2,2,0.05,0.69,1.74,0.484507455822379,1,3
45,2,0.5,6,0.6,0,"linear",FALSE,2,2,0.05,0.34,1.43,0.497569851956243,1,2
46,3,0.5,6,0.6,0,"linear",FALSE,2,2,0.05,0.31,1.32,0.468826172262151,1,2
47,2,1,6,0.6,0,"linear",FALSE,2,2,0.05,0.15,1.17,0.377525168068637,1,2
48,3,1,6,0.6,0,"linear",FALSE,2,2,0.05,0.16,1.16,0.368452949177471,1,2
49,2,0.5,3,0.15,10,"linear",FALSE,2,2,0.05,0.89,1.94,0.31204765240863,1,3
50,3,0.5,3,0.15,10,"linear",FALSE,2,2,0.05,0.91,1.98,0.283556062188838,1,3
51,2,1,3,0.15,10,"linear",FALSE,2,2,0.05,0.54,1.58,0.516006420757171,1,3
52,3,1,3,0.15,10,"linear",FALSE,2,2,0.05,0.67,1.67,0.472581562625261,1,2
53,2,0.5,6,0.15,10,"linear",FALSE,2,2,0.05,0.91,1.94,0.277797979063414,1,3
54,3,0.5,6,0.15,10,"linear",FALSE,2,2,0.05,0.83,1.89,0.399368187885502,1,3
55,2,1,6,0.15,10,"linear",FALSE,2,2,0.05,0.61,1.63,0.505624925865573,1,3
56,3,1,6,0.15,10,"linear",FALSE,2,2,0.05,0.48,1.5,0.522232967867094,1,3
57,2,0.5,3,0.6,10,"linear",FALSE,2,2,0.05,0.85,1.98,0.317184584439504,1,3
58,3,0.5,3,0.6,10,"linear",FALSE,2,2,0.05,0.88,1.92,0.338743966363203,1,3
59,2,1,3,0.6,10,"linear",FALSE,2,2,0.05,0.52,1.66,0.49685881985599,1,3
60,3,1,3,0.6,10,"linear",FALSE,2,2,0.05,0.79,1.83,0.403394686042433,1,3
61,2,0.5,6,0.6,10,"linear",FALSE,2,2,0.05,0.21,1.23,0.422952584681651,1,2
62,3,0.5,6,0.6,10,"linear",FALSE,2,2,0.05,0.28,1.28,0.451260859854213,1,2
63,2,1,6,0.6,10,"linear",FALSE,2,2,0.05,0.13,1.16,0.368452949177471,1,2
64,3,1,6,0.6,10,"linear",FALSE,2,2,0.05,0.17,1.19,0.419114024647906,1,3
65,2,0.5,3,0.15,0,"linear",FALSE,2,1,0.1,0.89,2.07,0.293188669562103,1,3
66,3,0.5,3,0.15,0,"linear",FALSE,2,1,0.1,0.92,2.07,0.256432399976243,2,3
67,2,1,3,0.15,0,"linear",FALSE,2,1,0.1,0.7,1.7,0.460566186471838,1,2
68,3,1,3,0.15,0,"linear",FALSE,2,1,0.1,0.68,1.72,0.494004457510663,1,3
69,2,0.5,6,0.15,0,"linear",FALSE,2,1,0.1,0.87,2.02,0.347574568701568,1,3
70,3,0.5,6,0.15,0,"linear",FALSE,2,1,0.1,0.91,2.01,0.301343791719824,1,3
71,2,1,6,0.15,0,"linear",FALSE,2,1,0.1,0.58,1.6,0.512470743190538,1,3
72,3,1,6,0.15,0,"linear",FALSE,2,1,0.1,0.49,1.53,0.540388935878782,1,3
73,2,0.5,3,0.6,0,"linear",FALSE,2,1,0.1,0.52,1.79,0.686007332764061,1,5
74,3,0.5,3,0.6,0,"linear",FALSE,2,1,0.1,0.73,1.8,0.471404520791032,1,3
75,2,1,3,0.6,0,"linear",FALSE,2,1,0.1,0.39,1.73,0.694203998777875,1,5
76,3,1,3,0.6,0,"linear",FALSE,2,1,0.1,0.52,1.54,0.52068331172711,1,3
77,2,0.5,6,0.6,0,"linear",FALSE,2,1,0.1,0.24,1.64,1.88304503022593,1,16
78,3,0.5,6,0.6,0,"linear",FALSE,2,1,0.1,0.34,1.77,2.246681053816,1,16
79,2,1,6,0.6,0,"linear",FALSE,2,1,0.1,0.07,1.21,0.537389875963326,1,5
80,3,1,6,0.6,0,"linear",FALSE,2,1,0.1,0.14,1.15,0.358870281282637,1,2
81,2,0.5,3,0.15,10,"linear",FALSE,2,1,0.1,0.94,2.01,0.301343791719824,1,4
82,3,0.5,3,0.15,10,"linear",FALSE,2,1,0.1,0.96,1.99,0.173787284350784,1,3
83,2,1,3,0.15,10,"linear",FALSE,2,1,0.1,0.75,1.78,0.439926531974776,1,3
84,3,1,3,0.15,10,"linear",FALSE,2,1,0.1,0.73,1.77,0.468287229478799,1,3
85,2,0.5,6,0.15,10,"linear",FALSE,2,1,0.1,0.92,2,0.284267621807481,1,3
86,3,0.5,6,0.15,10,"linear",FALSE,2,1,0.1,0.91,1.97,0.3,1,3
87,2,1,6,0.15,10,"linear",FALSE,2,1,0.1,0.59,1.69,0.563090318750649,1,3
88,3,1,6,0.15,10,"linear",FALSE,2,1,0.1,0.56,1.63,0.544114515576093,1,3
89,2,0.5,3,0.6,10,"linear",FALSE,2,1,0.1,0.57,2.02,0.69602043392737,1,5
90,3,0.5,3,0.6,10,"linear",FALSE,2,1,0.1,0.75,1.83,0.403394686042433,1,3
91,2,1,3,0.6,10,"linear",FALSE,2,1,0.1,0.36,1.69,0.63077633744362,1,4
92,3,1,3,0.6,10,"linear",FALSE,2,1,0.1,0.65,1.73,0.489382212074519,1,3
93,2,0.5,6,0.6,10,"linear",FALSE,2,1,0.1,0.2,1.31,0.506423386569624,1,3
94,3,0.5,6,0.6,10,"linear",FALSE,2,1,0.1,0.3,1.33,0.493493012650993,1,3
95,2,1,6,0.6,10,"linear",FALSE,2,1,0.1,0.14,1.18,0.386122919665369,1,2
96,3,1,6,0.6,10,"linear",FALSE,2,1,0.1,0.13,1.15,0.385992097056273,1,3
97,2,0.5,3,0.15,0,"linear",FALSE,2,2,0.1,0.89,2.12,0.356186309210063,2,4
98,3,0.5,3,0.15,0,"linear",FALSE,2,2,0.1,0.92,2.08,0.272659924344291,2,3
99,2,1,3,0.15,0,"linear",FALSE,2,2,0.1,0.66,1.69,0.486068540704525,1,3
100,3,1,3,0.15,0,"linear",FALSE,2,2,0.1,0.68,1.7,0.481999203654147,1,3
101,2,0.5,6,0.15,0,"linear",FALSE,2,2,0.1,0.94,2.03,0.413289342722603,1,5
102,3,0.5,6,0.15,0,"linear",FALSE,2,2,0.1,0.94,2.05,0.297294195005282,1,4
103,2,1,6,0.15,0,"linear",FALSE,2,2,0.1,0.57,1.63,0.544114515576093,1,3
104,3,1,6,0.15,0,"linear",FALSE,2,2,0.1,0.7,1.73,0.468287229478799,1,3
105,2,0.5,3,0.6,0,"linear",FALSE,2,2,0.1,0.91,2.03,0.264193072956086,1,3
106,3,0.5,3,0.6,0,"linear",FALSE,2,2,0.1,0.96,2.03,0.264193072956086,1,4
107,2,1,3,0.6,0,"linear",FALSE,2,2,0.1,0.61,1.75,0.479372485441102,1,3
108,3,1,3,0.6,0,"linear",FALSE,2,2,0.1,0.73,1.76,0.452155332208351,1,3
109,2,0.5,6,0.6,0,"linear",FALSE,2,2,0.1,0.27,1.39,0.584220105194208,1,4
110,3,0.5,6,0.6,0,"linear",FALSE,2,2,0.1,0.38,1.41,0.514339823993296,1,3
111,2,1,6,0.6,0,"linear",FALSE,2,2,0.1,0.19,1.25,0.519809599951771,1,4
112,3,1,6,0.6,0,"linear",FALSE,2,2,0.1,0.14,1.14,0.348735088019777,1,2
113,2,0.5,3,0.15,10,"linear",FALSE,2,2,0.1,0.91,1.96,0.281410588272579,1,3
114,3,0.5,3,0.15,10,"linear",FALSE,2,2,0.1,0.93,2.05,0.261116483933547,1,3
115,2,1,3,0.15,10,"linear",FALSE,2,2,0.1,0.62,1.7,0.522232967867094,1,3
116,3,1,3,0.15,10,"linear",FALSE,2,2,0.1,0.66,1.7,0.502518907629606,1,3
117,2,0.5,6,0.15,10,"linear",FALSE,2,2,0.1,0.91,1.97,0.264193072956086,1,3
118,3,0.5,6,0.15,10,"linear",FALSE,2,2,0.1,0.9,1.92,0.307482445914323,1,3
119,2,1,6,0.15,10,"linear",FALSE,2,2,0.1,0.56,1.58,0.516006420757171,1,3
120,3,1,6,0.15,10,"linear",FALSE,2,2,0.1,0.58,1.62,0.527620922996651,1,3
121,2,0.5,3,0.6,10,"linear",FALSE,2,2,0.1,0.77,1.98,0.449016883442217,1,4
122,3,0.5,3,0.6,10,"linear",FALSE,2,2,0.1,0.88,1.92,0.338743966363203,1,3
123,2,1,3,0.6,10,"linear",FALSE,2,2,0.1,0.61,1.89,0.566666666666667,1,4
124,3,1,3,0.6,10,"linear",FALSE,2,2,0.1,0.73,1.86,0.492776098069177,1,3
125,2,0.5,6,0.6,10,"linear",FALSE,2,2,0.1,0.38,1.48,0.502116731568678,1,2
126,3,0.5,6,0.6,10,"linear",FALSE,2,2,0.1,0.37,1.42,0.535223921797827,1,3
127,2,1,6,0.6,10,"linear",FALSE,2,2,0.1,0.22,1.34,0.589812502307969,1,4
128,3,1,6,0.6,10,"linear",FALSE,2,2,0.1,0.16,1.16,0.368452949177471,1,2
